,urination_density,shop_count,shop_density,toilet_count,toilet_density,green_space_ratio,PrecentAgeUnder5,PrecentAge5to9,PrecentAge10to14,PrecentAge15to19,PrecentAge20to24,PrecentAge25to34,PrecentAge35to44,PrecentAge45to54,PrecentAge55to59,PrecentAge60to64,PrecentAge65to74,PrecentAge75to84,PrecentAge85andOlder,Male Percent,Female Percent,PercentWhite,PercetnBlack,PercentAmericanIndianandAlaskaNative,PercentAsian,PercentNativeHawaiianandOtherPacificIslander,PercentSomeOtherRace,PercentHispanicOrLatino,Less Than 9th Grade,"9th to 12th Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,"PercentUnder$10,000","Percetn$10,000to$14,999","Percent$15,000to$24,999","Percetn$25,000to$34,999","Percent$35,000to$49,999","Percetn$50,000to$74,999","Percent$75,000to$99,999","Percetn$100,000to$149,999","Percent$150,000to$199,999","Percetn$200,000ormore",Median Household Income,crime_rate,population_density,subway_count,tree_count,AREA,tree_density
11204,0.000491248028544096,114,2.617369229683583e-06,1,2.2959379207750728e-08,0.019838262118495754,9.3,8.2,7.6,5.7,5.0,14.8,12.2,11.3,5.8,5.6,7.7,4.1,2.8,0.4982067510548524,0.5017932489451477,55.5,1.1,0.6,33.2,0.0,7.0,11.9,16.8,9.9,27.8,10.3,6.2,19.5,9.5,3.3,3.7,10.6,10.6,14.5,14.3,13.7,15.5,7.4,6.5,54984.0,0.00010342063758823073,0.00177599981923635,8.0,4731.0,43555184.613285,0.00010862082303186868
11205,0.0007051671732522796,191,8.207940938422397e-06,5,2.1486756383304705e-07,0.03683565373756131,9.7,8.2,6.7,8.0,8.3,20.4,14.5,9.2,3.3,3.8,4.2,2.5,1.2,0.4587180879956546,0.5412819120043455,52.6,28.6,0.5,6.2,0.0,6.9,16.4,6.1,9.8,18.9,12.2,5.0,28.9,19.1,7.9,4.3,9.3,8.2,11.9,14.8,7.0,11.2,11.4,14.1,62952.0,0.00026747720364741644,0.001767285712526812,11.0,2640.0,23270147.949762303,0.00011345007370384883
11206,0.0006939874364343405,143,3.513451275121514e-06,3,7.370876800954224e-08,0.03950621414598724,8.9,7.2,7.7,6.4,9.0,21.3,12.3,9.0,4.8,3.6,5.6,3.1,0.9,0.4789209922487699,0.5210790077512301,46.2,22.5,1.0,6.4,0.2,17.6,37.6,13.0,12.6,25.5,13.7,5.3,21.6,8.3,9.7,8.1,13.9,13.1,13.7,14.1,10.7,8.7,3.8,4.3,43065.0,0.0002752019144481005,0.0020534034287991642,23.0,4068.0,40700720.9727291,9.994908942093928e-05
11207,0.0008871691820941468,52,7.030232381577972e-07,1,1.3519677656880714e-08,0.1331564595365182,7.4,6.8,6.1,5.4,6.8,16.7,13.5,12.5,5.6,6.0,7.2,4.1,1.9,0.4559080854435604,0.5440919145564397,13.8,63.7,0.3,1.5,0.1,15.4,32.6,9.5,10.8,36.0,17.4,8.4,12.8,5.1,10.4,5.5,9.4,9.1,13.0,17.8,13.6,12.8,5.1,3.3,42276.0,0.0003313523451195006,0.0012648469628671322,31.0,8634.0,73966260.541061,0.00011672889688950808
11208,0.0006567100942696749,25,3.152438658055086e-07,2,2.5219509264440684e-08,0.16521731275857615,7.8,7.4,7.8,6.7,6.7,16.0,13.1,11.6,7.0,5.3,7.0,2.8,0.9,0.4722877243583498,0.5277122756416502,23.3,52.8,0.2,6.7,0.1,13.4,39.9,8.9,8.4,49.3,12.5,6.2,11.2,3.6,12.1,3.1,10.0,9.6,13.1,17.6,11.8,13.3,4.5,4.8,45946.0,0.00018006567100942696,0.0011904869348279225,17.0,8245.0,79303684.263991,0.00010396742694265673
11209,0.0008086058768319977,229,3.959039400697265e-06,1,1.7288381662433473e-08,0.1275055202350708,6.0,5.1,4.8,5.3,4.9,16.0,14.6,12.5,6.6,6.6,10.1,5.0,2.6,0.4806195881113972,0.5193804118886028,70.8,4.2,0.1,13.1,0.1,5.9,17.8,5.2,6.1,18.1,13.9,5.8,28.5,22.4,2.8,1.5,5.3,5.3,7.4,13.8,11.2,21.9,11.9,18.9,79524.0,0.0001588332972348567,0.0011973068720318302,11.0,6201.0,57842313.9612272,0.00010720525468874996
11210,0.0005069557308363279,14,2.9235477850214126e-07,1,2.0882484178724375e-08,0.012653659279723822,6.1,6.8,7.1,7.1,6.4,14.0,12.6,11.8,6.6,5.9,9.9,3.8,2.0,0.4730307739134614,0.5269692260865386,31.8,56.5,0.0,3.8,0.0,4.6,7.6,4.0,6.0,25.8,19.9,8.1,22.1,14.1,3.7,0.7,5.7,5.9,11.3,17.7,13.6,19.4,10.6,11.4,70776.0,0.00011928370137325359,0.0014005255664145074,8.0,5452.0,47887022.9921604,0.0001138513037424053
11211,0.00136376332955423,210,5.188915865626125e-06,3,7.412736950894464e-08,0.037709916831625785,9.2,6.6,6.0,5.3,6.6,26.9,15.7,8.6,3.3,3.2,5.0,2.4,1.4,0.5074358508430485,0.4925641491569514,71.2,6.3,0.3,6.4,0.0,10.3,23.9,7.7,8.3,17.9,10.2,3.6,33.6,18.8,4.7,6.1,11.8,8.5,9.6,11.6,8.3,11.8,9.5,18.1,90871.0,0.00044363385419233993,0.0015038219452279602,27.0,4143.0,40470881.6712834,0.00010236989729185256
11212,0.0005842653757184079,19,4.526816184308885e-07,2,4.765069667693563e-08,0.05095504265372634,6.3,5.1,6.8,5.6,5.9,16.1,12.9,13.0,7.4,6.5,8.5,4.3,1.5,0.4221808014911464,0.5778191985088537,8.6,77.4,0.1,0.9,0.1,6.7,18.0,8.1,13.8,35.0,19.2,8.3,11.7,3.8,13.4,4.4,12.0,11.7,13.8,17.5,8.2,12.8,3.3,2.8,29385.0,0.00011923783177926692,0.001998136663753942,10.0,4205.0,41972104.0714198,0.00010018558976325717
11213,0.0005606638259699485,35,1.1811951928023957e-06,2,6.74968681601369e-08,0.08796212235201502,6.7,5.4,6.2,5.8,8.5,17.9,13.4,11.4,6.5,5.0,7.5,4.3,1.4,0.4671128788103648,0.5328871211896352,25.2,64.2,0.1,2.1,0.0,5.2,11.7,7.4,10.8,24.1,18.6,6.1,19.4,13.7,6.6,5.7,11.9,8.5,13.6,12.5,11.3,15.6,7.8,6.6,48318.0,0.00019222759747541092,0.0021067797458823533,12.0,3652.0,29631004.437939003,0.00012324928126040998
11214,0.0006063260012800216,86,1.407608366363177e-06,1,1.6367539143757873e-08,0.14606656582384198,6.8,5.8,5.6,4.9,5.9,13.8,13.7,14.0,6.7,6.0,8.6,5.2,3.2,0.4902182091798344,0.5097817908201655,46.8,2.0,0.2,36.9,0.0,10.0,17.7,15.1,8.6,25.6,11.6,7.5,20.6,11.0,3.4,2.4,10.0,8.9,13.5,15.3,13.9,16.7,8.1,7.8,57639.0,0.0002357934449422306,0.0014577094036822198,21.0,4341.0,61096539.3891465,7.105148742305292e-05
11215,0.0012169680111265646,612,9.883270541331786e-06,21,3.3913183230060053e-07,0.349510263246188,7.8,5.8,5.5,3.4,2.8,20.8,19.9,13.6,5.2,4.2,6.9,2.9,1.2,0.4861204371740839,0.5138795628259162,74.2,4.1,0.2,9.1,0.0,5.0,15.8,3.0,3.2,7.7,5.7,4.1,35.8,40.6,2.1,0.4,3.4,1.0,2.9,6.2,7.0,17.2,16.2,43.5,144330.0,0.0003951194841320015,0.001021788061586838,25.0,6360.0,61922821.74616379,0.00010270849778246758
11216,0.0027291968363595855,285,1.0763559646093111e-05,2,7.55337519024078e-08,0.047256006249033984,5.7,4.7,3.0,2.6,7.0,29.5,15.3,11.8,4.7,4.8,6.1,3.7,1.3,0.457384122081018,0.542615877918982,32.1,51.0,0.2,4.9,0.0,4.1,12.3,4.8,5.9,19.7,11.8,6.2,32.1,19.5,3.8,3.4,5.0,4.4,11.1,15.5,12.3,17.3,10.0,17.2,77343.0,0.0001856596487319446,0.0020341994724837444,10.0,3512.0,26478229.263443302,0.00013263726834062808
11217,0.002157585688925304,393,1.8153969668122924e-05,4,1.8477322817427914e-07,0.023101515139725713,8.6,4.1,4.2,3.2,4.0,27.0,17.9,11.4,4.6,4.3,6.4,3.1,1.4,0.4684298532771249,0.5315701467228751,57.0,19.5,0.1,9.2,0.1,5.2,15.6,3.7,5.0,9.0,8.2,3.5,37.4,33.2,2.0,1.0,4.3,4.8,6.1,7.3,9.7,14.8,10.5,39.4,122598.0,0.0006554690700532567,0.0016913679374003074,24.0,3244.0,21648157.7960373,0.00014985108804934041
11218,0.0008439402324294411,175,4.746560907737267e-06,3,8.13696155612103e-08,0.023196334988544228,8.5,6.5,8.3,5.9,5.4,14.4,15.3,12.8,5.6,5.0,7.7,3.4,1.2,0.5073826419213974,0.4926173580786026,59.2,9.2,0.4,19.7,0.0,5.9,14.5,7.9,7.3,20.5,12.4,5.0,24.9,22.0,1.8,3.2,9.0,7.5,8.2,14.9,9.9,17.7,11.0,16.8,78249.0,0.0001936912008854455,0.0019604652709214266,14.0,4868.0,36868798.989756204,0.00013203576285065726
11219,0.0005833990557578245,68,1.6189420614337343e-06,1,2.3807971491672564e-08,0.009954900654994435,13.7,10.2,9.0,7.2,6.9,14.3,10.7,8.2,3.8,4.1,6.9,2.8,2.1,0.4988384275497654,0.5011615724502346,65.7,1.5,0.4,24.3,0.1,6.8,12.4,17.3,14.2,35.5,9.2,3.6,13.7,6.6,4.8,6.8,16.3,13.4,14.0,15.4,10.3,11.2,3.8,3.9,41907.0,0.00020527003813701237,0.0022036896492407037,19.0,4463.0,42002738.467230394,0.00010625497676733466
11220,0.000801998827847867,368,7.754913414571155e-06,5,1.0536567139362982e-07,0.13065932029568386,7.4,7.0,6.4,5.0,5.4,17.8,15.2,12.5,5.6,5.2,7.9,3.6,1.2,0.4934202543653552,0.5065797456346449,30.6,3.2,0.5,41.3,0.0,20.3,40.3,22.3,19.9,22.0,8.4,4.2,14.6,8.5,4.1,4.3,13.3,11.6,13.5,19.1,11.4,11.8,6.0,5.0,55119.0,0.00019535868883473683,0.0020495098205460514,19.0,4677.0,47453785.7906374,9.855904902160132e-05
11221,0.0008101505633662379,137,3.5510185061918885e-06,3,7.77595293326691e-08,0.023337376676838363,5.7,5.6,5.1,4.8,9.6,25.8,13.5,10.7,4.7,4.3,6.3,2.9,1.1,0.4643616648360637,0.5356383351639363,25.5,44.1,0.5,4.1,0.1,18.9,33.8,7.7,9.7,25.1,15.7,6.6,23.7,11.6,9.7,6.1,8.6,5.5,8.6,14.5,14.3,17.0,7.6,8.1,65548.0,7.478312892611427e-05,0.0020796008524729018,6.0,5098.0,38580480.4343075,0.00013213936017931568
11222,0.002120335949332232,225,5.253904480148923e-06,8,1.8680549262751723e-07,0.045813219981136424,4.8,3.3,2.1,2.1,5.2,31.7,21.7,10.1,4.2,3.8,5.6,3.7,1.9,0.4859983655679651,0.5140016344320348,79.9,3.4,0.2,5.3,0.0,4.5,15.2,4.6,4.1,14.6,13.2,3.9,40.1,19.6,5.0,1.2,4.8,6.9,7.4,12.1,12.2,16.4,10.9,23.1,96435.0,0.0003029051356188902,0.0008479801830960362,11.0,3704.0,42825293.236702,8.649094308654048e-05
11223,0.0003380747270359611,65,1.107270237355648e-06,1,1.703492672854843e-08,0.02590151316237804,9.1,7.1,5.9,5.5,5.5,14.1,12.3,11.4,6.9,6.2,8.4,4.4,3.1,0.4863354037267081,0.5136645962732921,55.5,5.3,0.1,25.0,0.2,10.0,13.4,11.7,8.9,28.7,10.6,7.0,20.0,13.0,5.8,3.8,10.0,8.9,10.1,14.7,11.3,17.0,8.2,10.3,56908.0,0.00022538315135730742,0.001360477388248792,18.0,5981.0,58702923.46629959,0.00010188589676344816
11224,0.0004435483870967742,67,1.4346285663888795e-06,16,3.425978666003294e-07,0.261575327674257,4.7,5.4,5.4,5.6,4.9,11.7,8.4,10.6,8.0,6.5,14.3,10.6,3.9,0.4576304648254985,0.5423695351745015,54.9,20.6,0.1,7.4,0.0,12.0,20.3,9.5,8.4,26.7,9.6,8.0,19.9,17.9,5.7,6.9,15.4,11.3,15.9,15.1,6.3,9.9,6.0,7.5,35776.0,0.00020161290322580645,0.001062053386461021,10.0,1949.0,46701983.7536391,4.1732702625252616e-05
11225,0.0007076264440002123,124,5.232369944859477e-06,1,4.219653181338288e-08,0.02397437615545766,4.0,4.6,5.4,5.3,6.1,22.3,13.0,13.7,5.5,5.2,8.2,4.7,1.9,0.4533813668140962,0.5466186331859039,29.8,59.8,0.3,2.6,0.0,4.5,10.0,5.0,6.9,21.3,18.3,6.0,25.5,17.1,3.6,4.2,6.6,6.6,13.8,16.5,14.7,15.7,8.6,9.6,65200.0,0.0002476692554000743,0.002385243353815094,14.0,2868.0,23698630.1249252,0.00012101965324078208
11226,0.0006407115667282252,80,2.0300138419946426e-06,4,1.0150069209973213e-07,0.059750958410037025,6.5,5.6,5.5,5.9,6.3,20.5,15.4,12.0,5.3,5.3,7.5,3.1,1.1,0.4567744882282108,0.5432255117717892,15.7,66.6,0.7,2.9,0.0,10.2,15.9,6.0,7.8,33.3,16.7,4.7,20.1,11.4,4.7,3.6,5.3,9.4,13.1,19.2,12.7,15.9,9.4,6.5,60896.0,0.0001790223495270041,0.002693117863482193,19.0,3875.0,39408598.279011704,9.832879547161551e-05
11228,0.00030176415970287836,52,1.184698487238646e-06,3,6.834798964838342e-08,0.38128689127327814,5.7,5.1,5.4,5.3,5.2,14.1,12.8,13.6,6.9,6.7,10.3,6.0,2.9,0.488741510551985,0.511258489448015,53.6,1.4,0.1,37.0,0.1,4.9,12.1,11.9,6.2,28.7,10.5,6.6,23.6,12.5,2.9,2.4,6.2,7.6,9.8,14.5,11.1,21.5,11.3,12.7,76278.0,0.0001392757660167131,0.0009814771313507858,6.0,3785.0,43893024.7317224,8.623238027304375e-05
11229,0.00027635413526278766,50,8.316793152340736e-07,4,6.653434521872589e-08,0.06428051179825418,6.1,6.2,6.5,4.9,5.6,13.2,11.9,11.7,6.5,7.6,11.7,5.6,2.6,0.4790682342599714,0.5209317657400285,63.6,6.4,0.3,22.9,0.1,3.6,9.7,9.2,5.0,27.5,12.1,7.7,23.3,15.3,3.7,3.5,7.0,7.3,10.6,12.8,13.1,19.5,10.7,11.8,66332.0,6.280775801426992e-05,0.0013241665385430824,5.0,6099.0,60119326.144269496,0.00010144824287225228
11230,0.00045759798162187565,47,9.413799991907949e-07,6,1.2017617010946316e-07,0.025365420476999356,10.0,6.7,6.9,6.1,5.8,15.5,10.8,10.5,5.4,5.8,9.6,4.1,2.7,0.4923383951919989,0.5076616048080012,69.0,7.2,0.3,14.3,0.0,5.3,11.4,8.0,8.8,20.1,12.0,7.4,24.6,19.0,3.7,4.1,6.8,8.6,12.1,17.1,11.4,15.9,9.8,10.4,57770.0,0.00024735026033614904,0.0016195140977568105,20.0,7336.0,49926703.39331721,0.00014693539732050365
11231,0.0005581704079169684,256,6.386959237660902e-06,3,7.48471785663387e-08,0.08698906932236933,9.3,7.3,5.3,4.0,4.1,17.3,19.4,14.2,5.4,4.3,5.7,2.8,0.7,0.4553127315059794,0.5446872684940205,66.8,14.7,0.4,5.8,0.7,5.2,16.1,4.8,5.2,11.9,9.1,3.0,33.6,32.4,7.0,4.0,4.6,4.2,6.2,7.2,6.8,12.0,12.8,35.2,108525.0,0.00018102824040550325,0.0008269116288009098,6.0,3660.0,40081671.17937564,9.13135578509332e-05
11232,0.0010839741201178821,281,5.028716912932164e-06,5,8.947894862868618e-08,0.024053088243548588,6.1,6.6,5.6,4.2,5.9,24.3,16.9,14.1,4.9,3.7,5.0,2.3,0.6,0.5433379872457643,0.4566620127542357,43.7,7.6,1.3,15.9,0.1,25.4,51.7,16.7,13.2,21.1,11.5,4.2,19.6,13.6,4.5,6.5,6.7,9.7,12.5,14.1,11.4,14.5,11.0,9.0,74072.0,0.0001693709562684191,0.000528301608493489,5.0,2110.0,55879065.1502698,3.776011632130557e-05
11233,0.0010788618008001558,58,1.531486827249485e-06,2,5.280989059480983e-08,0.04600163198970661,7.2,6.2,5.6,5.6,8.0,19.6,13.2,13.0,5.0,5.2,6.3,3.7,1.5,0.4573036242418166,0.5426963757581834,13.1,73.8,0.1,2.3,0.0,7.6,15.6,6.9,9.8,32.3,14.7,6.9,19.5,9.9,14.4,3.2,8.9,8.5,14.1,11.9,13.4,13.6,5.2,6.8,48278.0,0.0002097786834889192,0.0017621868343129113,14.0,4732.0,37871693.6822543,0.00012494820114732004
11234,0.0005125039311381081,42,2.036847145973718e-07,5,2.4248180309210927e-08,0.21792922867506523,5.6,5.6,6.6,5.8,5.8,11.7,12.5,13.1,7.3,7.2,10.7,5.9,2.2,0.4642477758597796,0.5357522241402204,38.8,45.3,0.3,7.4,0.0,4.8,10.8,5.5,5.8,28.9,15.5,8.2,21.4,14.7,2.4,2.0,5.0,5.9,7.9,13.1,14.9,21.1,13.6,14.1,84116.0,0.0,0.0004163558048173372,0.0,11253.0,206201040.087973,5.4572954603910105e-05
11235,0.0008012610009194798,129,1.8681085521206694e-06,6,8.688876986607765e-08,0.19852167935331,6.5,4.3,4.7,4.0,4.2,13.6,12.1,12.6,6.8,6.9,12.3,7.7,4.3,0.4786209227649146,0.5213790772350854,73.4,2.2,0.1,13.1,0.0,5.6,8.6,6.4,4.9,22.8,9.5,8.3,26.9,21.0,2.1,4.0,11.1,7.1,10.0,17.2,12.2,15.8,9.0,11.6,56308.0,0.00018389596742414288,0.001102473674984082,14.0,5157.0,69053803.0317134,7.468089769989372e-05
11236,0.0006033022861981371,22,2.2827735606014452e-07,2,2.075248691455859e-08,0.14674507998106737,6.3,6.4,5.9,6.0,6.4,14.8,13.0,12.4,7.4,6.7,8.9,4.2,1.6,0.4389552827840236,0.5610447172159764,5.4,85.8,0.1,2.7,0.0,4.0,7.6,5.6,6.1,31.4,18.3,9.3,19.2,10.0,4.3,2.4,5.4,6.3,8.6,16.1,15.6,22.5,10.3,8.4,74015.0,5.292125317527519e-05,0.000980347481843748,5.0,6859.0,96373991.6201046,7.117065387347869e-05
11237,0.001175635958244654,194,7.0736138155480025e-06,0,0.0,0.023719675902872214,4.5,4.7,6.3,4.9,9.6,28.7,14.2,10.9,4.5,3.7,4.8,2.7,0.6,0.5078893354998717,0.4921106645001283,35.5,12.4,1.3,5.7,0.1,37.6,60.0,13.1,13.3,20.8,11.3,5.1,26.6,9.7,7.1,4.9,16.4,10.4,15.7,14.6,11.8,10.7,5.6,2.9,57375.0,0.00038512212425255904,0.0017988491628353645,19.0,2951.0,27425868.1713133,0.00010759914623547503
11238,0.0014786559231956113,308,1.046571640804128e-05,7,2.3785719109184732e-07,0.13450566458086247,6.6,3.8,4.2,2.1,2.9,27.8,17.8,12.7,5.4,4.5,7.2,3.4,1.7,0.4552466335160249,0.5447533664839752,53.7,29.6,0.2,6.0,0.0,3.0,10.3,3.5,5.6,10.4,8.9,3.9,35.7,31.9,2.3,3.0,3.6,5.1,5.3,9.9,11.1,14.4,14.7,30.6,100568.0,0.0004928853077318703,0.001585623995015709,23.0,3872.0,29429423.4614794,0.00013156900627251896
11239,0.00023881547524279574,23,5.503095270497318e-07,1,2.39265011760753e-08,0.13841044831172644,4.2,5.3,6.6,5.0,5.9,8.2,9.7,10.3,8.0,5.7,12.1,12.4,6.4,0.3919887780548628,0.6080112219451371,25.3,59.5,2.9,3.6,0.0,4.7,18.6,7.9,7.4,38.5,15.8,10.6,11.8,8.0,4.8,12.9,16.4,17.6,11.6,14.6,10.8,6.1,2.3,2.9,29571.0,0.0,0.000300564707773858,0.0,988.0,41794660.76719671,2.36393831619624e-05
11354,0.0005638615976078599,114,1.8391502591887503e-06,3,4.83986910312829e-08,0.04344045463598673,5.2,3.6,4.0,3.6,4.4,14.7,11.6,15.4,9.1,6.7,10.6,6.9,4.2,0.4602586388034613,0.5397413611965387,18.8,3.1,0.2,65.0,0.1,8.5,14.3,13.0,12.6,29.3,12.4,8.7,14.8,9.2,6.8,2.5,10.8,14.4,13.5,17.9,12.1,12.7,4.6,4.8,45838.0,0.00017086715079026057,0.0009441777975352773,10.0,5824.0,61985147.4508045,9.395799218873054e-05
11355,0.000446811336931976,73,1.4782391327990953e-06,9,1.8224866020810765e-07,0.12241342721689935,6.0,4.3,4.5,3.7,4.8,14.6,12.9,15.4,7.8,6.4,11.0,5.9,2.6,0.4813908896482215,0.5186091103517786,12.4,2.7,0.5,72.2,0.1,9.4,15.7,17.2,15.4,28.4,9.1,8.3,13.2,8.4,8.1,3.6,12.9,10.4,14.4,17.2,12.4,11.6,4.7,4.7,45527.0,0.0,0.0016768699225747983,0.0,5287.0,49383079.083945,0.00010706096294669612
11356,0.00029941400402070235,30,6.925022438023397e-07,3,6.925022438023397e-08,0.05518064320272931,7.8,5.3,7.7,7.1,5.4,12.9,16.6,12.7,5.2,5.0,9.3,3.3,1.6,0.4902390603027546,0.5097609396972455,30.1,1.9,0.2,29.5,0.2,33.8,43.3,10.5,10.4,32.8,14.3,10.6,15.0,6.5,1.1,1.6,8.3,10.1,11.0,23.0,11.1,20.3,7.2,6.4,64324.0,0.0,0.0005396669985951633,0.0,3099.0,43321159.272031,7.153548178478169e-05
11357,0.00020542317173377156,12,1.55120707897352e-07,3,3.8780176974338e-08,0.036272542753629275,5.9,4.2,6.5,4.7,4.0,10.4,11.6,15.6,6.0,7.6,12.6,7.3,3.7,0.4816042674111372,0.5183957325888628,65.0,0.7,0.0,24.8,0.0,6.3,17.3,11.1,6.3,24.3,15.7,6.8,22.7,13.2,1.7,1.8,3.8,7.5,10.7,15.3,12.6,23.0,10.4,13.1,82858.0,0.0,0.0005034184040295397,0.0,9449.0,77359110.6091442,0.00012214463074350658
11358,0.0003709297088201786,28,5.126088871634626e-07,1,1.8307460255837948e-08,0.006000461160189875,6.0,4.9,5.2,4.3,5.4,13.4,13.6,13.9,7.6,7.3,10.4,5.4,2.6,0.4865130233192418,0.5134869766807583,38.6,1.3,0.4,47.2,0.0,8.2,17.9,8.8,8.2,24.1,15.0,11.1,19.1,13.6,4.2,1.7,5.5,6.7,13.5,14.9,12.5,20.3,10.2,10.6,70777.0,0.0,0.0006909784724360916,0.0,6928.0,54622541.0857367,0.00012683408465244528
11360,0.00015811943287830075,3,7.72502531944997e-08,3,7.72502531944997e-08,0.4195049689332654,5.2,2.4,4.2,4.3,5.3,10.2,11.2,13.0,7.9,8.2,12.6,10.0,5.6,0.4582362904933305,0.5417637095066695,60.5,1.2,0.6,32.4,0.0,3.3,10.9,6.3,3.7,20.0,14.5,6.8,25.1,23.5,1.6,0.7,3.5,7.0,3.6,13.3,11.5,24.7,19.3,14.8,84356.0,0.0,0.0004885563512864144,0.0,2498.0,38834824.1713414,6.432371082662009e-05
